order_id,order_date,customer_id,customer_name,segment,region,country,category,sub_category,sales,quantity,discount,profit
ORD-2024-10024,2025-03-17,CUST-1060,James Taylor 16,Home Office,Europe,Italy,Office Supplies,Paper,721.86,7,0.35,-36.09
ORD-2024-10025,2024-09-24,CUST-1080,Noah Davis 27,Home Office,Asia Pacific,Australia,Furniture,Tables,629.68,5,0.15,71.3
ORD-2024-10026,2025-01-19,CUST-1018,Alex Rivera 59,Home Office,North America,United States,Office Supplies,Binders,354.81,3,0.1,164.72
ORD-2024-10027,2025-03-26,CUST-1062,Sophia Wilson 37,Consumer,Latin America,Chile,Office Supplies,Storage,109.76,1,0.3,48.86
ORD-2024-10028,2024-06-02,CUST-1026,Liam Smith 34,Consumer,North America,United States,Furniture,Bookcases,2870.63,6,0.05,538.24
ORD-2024-10029,2025-03-12,CUST-1067,Benjamin Anderson 63,Corporate,North America,United States,Office Supplies,Art,209.04,1,0.0,62.73
ORD-2024-10030,2024-03-07,CUST-1067,Liam Smith 95,Corporate,Latin America,Chile,Technology,Smartphones,448.44,3,0.2,71.31
ORD-2024-10031,2024-07-08,CUST-1149,Benjamin Anderson 19,Corporate,Europe,Germany,Furniture,Bookcases,651.82,1,0.1,59.98
ORD-2024-10032,2024-05-07,CUST-1026,Sophia Wilson 72,Corporate,Europe,United Kingdom,Technology,Laptops,1265.03,1,0.05,422.7
ORD-2024-10033,2024-06-19,CUST-1105,Olivia Brown 35,Consumer,North America,Canada,Technology,Printers,2850.19,8,0.1,644.99
ORD-2024-10034,2025-02-11,CUST-1058,Olivia Brown 4,Home Office,Europe,Spain,Furniture,Bookcases,3142.17,5,0.1,560.24
ORD-2024-10035,2024-07-23,CUST-1137,Sophia Wilson 4,Consumer,Asia Pacific,Australia,Office Supplies,Storage,120.83,7,0.1,50.58
ORD-2024-10036,2024-06-09,CUST-1111,Charlotte Thomas 66,Consumer,Latin America,Chile,Technology,Accessories,1001.21,7,0.0,280.32
ORD-2024-10037,2025-02-16,CUST-1137,Olivia Brown 47,Corporate,North America,Canada,Office Supplies,Storage,236.89,2,0.3,111.34
ORD-2024-10038,2024-09-16,CUST-1079,James Taylor 42,Corporate,Asia Pacific,Australia,Technology,Printers,5018.58,7,0.3,1691.43
ORD-2024-10039,2024-03-30,CUST-1145,Noah Davis 52,Home Office,North America,Canada,Furniture,Desks,1899.34,6,0.15,262.79
ORD-2024-10040,2024-12-11,CUST-1054,Benjamin Anderson 61,Home Office,Europe,Germany,Furniture,Furnishings,3287.34,6,0.0,702.45
ORD-2024-10041,2025-01-19,CUST-1060,Noah Davis 29,Consumer,Europe,Germany,Technology,Laptops,2511.22,2,0.15,636.87
ORD-2024-10042,2024-11-18,CUST-1147,Olivia Brown 92,Home Office,Latin America,Mexico,Furniture,Desks,160.68,1,0.0,33.05
ORD-2024-10043,2024-04-22,CUST-1045,Benjamin Anderson 60,Consumer,Europe,Germany,Furniture,Desks,3320.41,6,0.15,572.87
ORD-2024-10044,2025-01-03,CUST-1129,James Taylor 71,Corporate,Europe,Spain,Furniture,Bookcases,2455.32,5,0.2,360.73
ORD-2024-10045,2024-05-02,CUST-1070,Mia Martinez 10,Home Office,Asia Pacific,Australia,Furniture,Bookcases,550.58,2,0.05,44.14
ORD-2024-10046,2024-07-15,CUST-1039,Olivia Brown 9,Corporate,Latin America,Mexico,Office Supplies,Art,373.29,4,0.15,118.27
ORD-2024-10047,2025-01-29,CUST-1149,Alex Rivera 98,Home Office,Latin America,Mexico,Technology,Accessories,2998.98,7,0.15,853.38
ORD-2024-10048,2025-01-11,CUST-1139,Charlotte Thomas 29,Corporate,Europe,France,Furniture,Tables,301.43,6,0.3,56.01
ORD-2024-10049,2024-07-26,CUST-1042,Mia Martinez 17,Home Office,North America,Canada,Office Supplies,Appliances,236.77,2,0.3,77.8
ORD-2024-10050,2025-03-19,CUST-1118,Liam Smith 7,Corporate,Latin America,Mexico,Technology,Printers,3427.96,7,0.1,1158.66
ORD-2024-10051,2025-03-01,CUST-1107,Noah Davis 11,Corporate,North America,United States,Furniture,Desks,537.61,1,0.0,128.98
ORD-2024-10052,2024-04-12,CUST-1005,Charlotte Thomas 20,Consumer,Europe,Spain,Office Supplies,Paper,494.19,4,0.15,202.54
ORD-2024-10053,2025-01-27,CUST-1094,Liam Smith 78,Home Office,North America,United States,Furniture,Chairs,1936.04,5,0.2,359.08
ORD-2024-10054,2025-05-05,CUST-1096,James Taylor 92,Consumer,North America,United States,Technology,Accessories,2059.87,2,0.2,712.01
ORD-2024-10055,2024-06-26,CUST-1136,James Taylor 85,Corporate,North America,Canada,Technology,Printers,2121.11,2,0.15,827.65
ORD-2024-10056,2024-11-21,CUST-1117,Liam Smith 56,Consumer,Asia Pacific,India,Furniture,Tables,3011.85,5,0.1,663.64
ORD-2024-10057,2025-03-01,CUST-1022,Noah Davis 58,Consumer,Latin America,Chile,Office Supplies,Art,653.33,8,0.1,166.31
ORD-2024-10058,2024-04-18,CUST-1090,Noah Davis 44,Corporate,Asia Pacific,Japan,Office Supplies,Binders,181.77,7,0.15,66.63
ORD-2024-10059,2024-05-03,CUST-1121,Mia Martinez 58,Consumer,North America,Canada,Technology,Printers,3718.19,5,0.3,1098.31
ORD-2024-10060,2024-08-30,CUST-1141,Benjamin Anderson 45,Corporate,Asia Pacific,Singapore,Office Supplies,Art,356.34,5,0.05,84.17
ORD-2024-10061,2024-04-08,CUST-1080,Emma Watson 96,Home Office,Europe,United Kingdom,Technology,Printers,2363.15,5,0.0,846.38
ORD-2024-10062,2024-05-31,CUST-1058,Sophia Wilson 23,Corporate,North America,United States,Furniture,Chairs,2732.52,5,0.3,652.57
ORD-2024-10063,2024-11-22,CUST-1125,Emma Watson 2,Home Office,Asia Pacific,India,Furniture,Tables,274.98,1,0.1,65.5
ORD-2024-10064,2024-09-01,CUST-1029,Emma Watson 52,Corporate,North America,United States,Technology,Laptops,6159.1,5,0.0,2454.28
ORD-2024-10065,2024-03-01,CUST-1142,James Taylor 78,Home Office,Europe,Italy,Furniture,Tables,2376.99,5,0.35,-118.85
ORD-2024-10066,2024-06-05,CUST-1145,Charlotte Thomas 8,Home Office,North America,United States,Office Supplies,Binders,139.69,2,0.05,37.99
ORD-2024-10067,2024-10-09,CUST-1019,Liam Smith 1,Corporate,Latin America,Chile,Office Supplies,Art,287.64,4,0.1,118.53
ORD-2024-10068,2024-12-25,CUST-1116,Emma Watson 88,Consumer,Asia Pacific,Australia,Furniture,Chairs,1237.73,3,0.1,266.52
ORD-2024-10069,2024-02-06,CUST-1015,Liam Smith 40,Home Office,Asia Pacific,India,Technology,Printers,6664.9,7,0.1,1833.63
ORD-2024-10070,2024-09-09,CUST-1112,Emma Watson 77,Consumer,Latin America,Chile,Furniture,Furnishings,451.78,2,0.05,109.5
ORD-2024-10071,2025-03-04,CUST-1147,Charlotte Thomas 3,Home Office,Asia Pacific,Japan,Technology,Printers,5881.9,8,0.1,1149.16
ORD-2024-10072,2024-10-26,CUST-1111,Mia Martinez 12,Corporate,Asia Pacific,India,Furniture,Bookcases,1492.02,3,0.1,197.44
ORD-2024-10073,2024-09-10,CUST-1073,James Taylor 98,Home Office,North America,Canada,Technology,Accessories,745.3,2,0.15,272.95
ORD-2024-10074,2025-02-26,CUST-1000,Benjamin Anderson 60,Corporate,North America,United States,Office Supplies,Storage,892.81,8,0.3,296.96
ORD-2024-10075,2024-01-27,CUST-1052,Noah Davis 71,Consumer,Asia Pacific,India,Office Supplies,Art,109.59,4,0.3,27.12
ORD-2024-10076,2024-10-09,CUST-1003,Benjamin Anderson 53,Consumer,Europe,Germany,Furniture,Chairs,1366.24,3,0.15,323.16
ORD-2024-10077,2024-05-29,CUST-1130,Noah Davis 54,Corporate,Latin America,Brazil,Furniture,Furnishings,507.14,4,0.2,76.91
ORD-2024-10078,2025-03-26,CUST-1034,Emma Watson 36,Corporate,Asia Pacific,Singapore,Technology,Accessories,8443.52,8,0.05,2209.14
ORD-2024-10079,2024-09-04,CUST-1088,Sophia Wilson 71,Home Office,Latin America,Mexico,Furniture,Desks,2513.86,4,0.2,318.24
ORD-2024-10080,2025-03-14,CUST-1105,Alex Rivera 41,Home Office,Latin America,Chile,Furniture,Tables,2017.84,3,0.15,490.26
ORD-2024-10081,2024-03-05,CUST-1128,Charlotte Thomas 43,Consumer,Latin America,Brazil,Office Supplies,Art,34.88,3,0.15,16.09
ORD-2024-10082,2025-05-11,CUST-1039,Emma Watson 61,Corporate,Asia Pacific,India,Office Supplies,Paper,1350.85,7,0.1,524.18
ORD-2024-10083,2025-03-30,CUST-1124,Benjamin Anderson 5,Home Office,North America,United States,Office Supplies,Storage,423.95,2,0.15,209.22
ORD-2024-10084,2025-01-24,CUST-1025,Mia Martinez 22,Home Office,Asia Pacific,Japan,Technology,Accessories,5447.34,5,0.1,1327.57
ORD-2024-10085,2024-03-15,CUST-1062,Benjamin Anderson 53,Home Office,Europe,United Kingdom,Technology,Smartphones,4301.93,7,0.35,-215.1
ORD-2024-10086,2024-09-11,CUST-1149,Liam Smith 30,Corporate,Asia Pacific,India,Furniture,Chairs,5214.1,8,0.1,967.33
ORD-2024-10087,2024-03-21,CUST-1018,Mia Martinez 45,Home Office,Asia Pacific,India,Office Supplies,Storage,568.29,5,0.05,284.04
ORD-2024-10088,2025-03-12,CUST-1123,Emma Watson 31,Corporate,Asia Pacific,Singapore,Office Supplies,Storage,96.2,7,0.1,19.47
ORD-2024-10089,2025-03-18,CUST-1012,Charlotte Thomas 96,Corporate,Asia Pacific,Australia,Office Supplies,Storage,200.19,4,0.2,55.09
ORD-2024-10090,2025-01-21,CUST-1035,Emma Watson 81,Home Office,North America,Canada,Furniture,Chairs,1454.04,3,0.0,337.23
ORD-2024-10091,2024-06-16,CUST-1106,Liam Smith 26,Consumer,Asia Pacific,Singapore,Technology,Accessories,9921.24,8,0.1,3339.88
ORD-2024-10092,2024-06-22,CUST-1029,Mia Martinez 10,Consumer,Europe,Spain,Office Supplies,Storage,221.69,7,0.0,61.93
ORD-2024-10093,2024-03-04,CUST-1116,Sophia Wilson 87,Home Office,Asia Pacific,India,Office Supplies,Storage,122.4,4,0.15,25.4
ORD-2024-10094,2025-03-28,CUST-1143,Sophia Wilson 79,Consumer,North America,Canada,Office Supplies,Storage,315.06,2,0.05,67.3
ORD-2024-10095,2024-01-20,CUST-1077,Mia Martinez 15,Consumer,Europe,Italy,Technology,Printers,4055.35,7,0.2,1360.84
ORD-2024-10096,2024-03-20,CUST-1106,Emma Watson 63,Home Office,Latin America,Mexico,Technology,Accessories,2952.75,8,0.05,1074.4
ORD-2024-10097,2024-02-20,CUST-1094,Benjamin Anderson 83,Corporate,North America,Canada,Furniture,Desks,6209.28,8,0.0,1133.53
ORD-2024-10098,2024-11-24,CUST-1005,Alex Rivera 43,Consumer,Europe,Italy,Technology,Smartphones,4026.69,4,0.2,821.4
ORD-2024-10099,2025-03-21,CUST-1059,Sophia Wilson 19,Home Office,North America,Canada,Technology,Laptops,2541.33,3,0.0,801.19
ORD-2024-10100,2024-01-14,CUST-1033,Alex Rivera 46,Consumer,Asia Pacific,Japan,Technology,Accessories,864.7,7,0.2,154.27
ORD-2024-10101,2024-02-02,CUST-1121,Mia Martinez 47,Home Office,North America,Canada,Office Supplies,Binders,165.83,1,0.3,72.13
ORD-2024-10102,2025-03-19,CUST-1133,Noah Davis 59,Home Office,North America,United States,Furniture,Tables,628.51,2,0.15,120.98
ORD-2024-10103,2024-08-15,CUST-1018,Emma Watson 42,Home Office,Europe,Germany,Technology,Accessories,4929.3,6,0.15,1965.1
ORD-2024-10104,2024-09-28,CUST-1075,Mia Martinez 65,Home Office,Latin America,Brazil,Office Supplies,Paper,729.88,4,0.15,244.85
ORD-2024-10105,2024-04-26,CUST-1105,Sophia Wilson 59,Corporate,Latin America,Chile,Technology,Accessories,3087.0,5,0.1,1198.99
ORD-2024-10106,2024-12-17,CUST-1121,Emma Watson 12,Consumer,North America,Canada,Technology,Accessories,986.17,1,0.2,383.77
ORD-2024-10107,2024-10-14,CUST-1084,Emma Watson 53,Corporate,Latin America,Chile,Technology,Accessories,5595.48,6,0.0,1647.75
ORD-2024-10108,2024-04-18,CUST-1039,Mia Martinez 29,Consumer,Asia Pacific,Singapore,Technology,Accessories,5013.23,7,0.2,1973.39
ORD-2024-10109,2025-02-23,CUST-1142,Alex Rivera 78,Home Office,Asia Pacific,Japan,Technology,Accessories,4850.23,5,0.1,1153.17
ORD-2024-10110,2024-04-02,CUST-1036,Charlotte Thomas 85,Corporate,North America,United States,Office Supplies,Paper,108.87,4,0.15,35.49
ORD-2024-10111,2024-06-23,CUST-1040,Sophia Wilson 40,Home Office,Asia Pacific,Japan,Technology,Laptops,212.46,1,0.3,36.2
ORD-2024-10112,2024-08-14,CUST-1108,Mia Martinez 78,Corporate,Latin America,Mexico,Technology,Monitors,1691.34,7,0.0,373.47
ORD-2024-10113,2024-12-13,CUST-1124,Benjamin Anderson 86,Corporate,North America,United States,Furniture,Furnishings,327.92,4,0.1,78.39
ORD-2024-10114,2025-01-27,CUST-1035,Noah Davis 38,Corporate,North America,United States,Furniture,Tables,1017.91,7,0.2,194.15
ORD-2024-10115,2024-09-13,CUST-1143,Sophia Wilson 10,Corporate,North America,Canada,Technology,Printers,6662.64,6,0.2,1714.44
ORD-2024-10116,2024-07-26,CUST-1106,Noah Davis 15,Corporate,North America,Canada,Technology,Monitors,4400.04,6,0.0,1140.39
ORD-2024-10117,2024-02-24,CUST-1062,James Taylor 76,Corporate,North America,Canada,Furniture,Bookcases,648.54,3,0.0,98.64
ORD-2024-10118,2024-02-28,CUST-1135,Benjamin Anderson 25,Corporate,Asia Pacific,Australia,Technology,Smartphones,1094.21,4,0.05,328.92
ORD-2024-10119,2025-01-24,CUST-1019,Liam Smith 99,Home Office,Latin America,Mexico,Office Supplies,Appliances,494.51,6,0.3,145.8
ORD-2024-10120,2024-08-13,CUST-1017,Mia Martinez 57,Home Office,Asia Pacific,Singapore,Office Supplies,Paper,170.05,2,0.1,57.57
ORD-2024-10121,2024-01-20,CUST-1014,Sophia Wilson 37,Consumer,North America,Canada,Furniture,Furnishings,395.88,1,0.15,91.77
ORD-2024-10122,2024-10-19,CUST-1048,Sophia Wilson 78,Corporate,Europe,Germany,Furniture,Chairs,2764.57,6,0.3,184.86
ORD-2024-10123,2024-11-26,CUST-1044,Alex Rivera 32,Home Office,Latin America,Mexico,Office Supplies,Appliances,844.29,6,0.1,401.36
ORD-2024-10124,2024-07-17,CUST-1104,Sophia Wilson 87,Home Office,North America,Canada,Technology,Accessories,1349.46,7,0.1,287.43
ORD-2024-10125,2025-03-12,CUST-1038,Sophia Wilson 11,Home Office,Europe,France,Furniture,Tables,190.72,2,0.35,-9.54
ORD-2024-10126,2024-11-25,CUST-1084,Liam Smith 86,Home Office,North America,Canada,Office Supplies,Storage,68.31,5,0.05,33.15
ORD-2024-10127,2024-06-23,CUST-1124,Olivia Brown 29,Consumer,Europe,Germany,Furniture,Chairs,301.54,1,0.3,35.39
ORD-2024-10128,2025-01-27,CUST-1033,Charlotte Thomas 49,Consumer,Europe,United Kingdom,Office Supplies,Appliances,428.76,3,0.3,142.05
ORD-2024-10129,2024-07-29,CUST-1093,Olivia Brown 57,Home Office,Asia Pacific,India,Technology,Monitors,3189.11,8,0.05,771.64
ORD-2024-10130,2025-04-29,CUST-1146,Mia Martinez 60,Corporate,Latin America,Chile,Office Supplies,Art,774.08,4,0.2,186.96
ORD-2024-10131,2024-05-08,CUST-1013,Mia Martinez 48,Home Office,North America,United States,Furniture,Chairs,2644.95,5,0.15,611.15
ORD-2024-10132,2024-03-16,CUST-1111,Emma Watson 29,Corporate,Asia Pacific,Japan,Furniture,Chairs,1979.84,6,0.05,251.9
ORD-2024-10133,2024-02-11,CUST-1095,Olivia Brown 4,Corporate,North America,Canada,Technology,Laptops,752.58,8,0.3,269.26
ORD-2024-10134,2025-01-23,CUST-1120,Mia Martinez 79,Consumer,North America,United States,Furniture,Desks,4733.54,7,0.0,971.49
ORD-2024-10135,2024-05-01,CUST-1077,Emma Watson 7,Consumer,Latin America,Chile,Office Supplies,Art,160.45,8,0.2,57.89
ORD-2024-10136,2024-11-19,CUST-1131,Charlotte Thomas 31,Home Office,Europe,France,Furniture,Chairs,1635.55,4,0.2,218.04
ORD-2024-10137,2024-12-06,CUST-1021,Benjamin Anderson 47,Consumer,North America,Canada,Furniture,Chairs,2844.45,6,0.1,567.36
ORD-2024-10138,2024-07-01,CUST-1017,Sophia Wilson 31,Home Office,North America,Canada,Technology,Smartphones,2437.09,6,0.3,472.24
ORD-2024-10139,2025-02-02,CUST-1118,Mia Martinez 81,Consumer,Europe,Germany,Office Supplies,Art,75.52,4,0.0,33.03
ORD-2024-10140,2025-03-29,CUST-1010,Sophia Wilson 40,Home Office,Latin America,Chile,Furniture,Bookcases,278.89,4,0.1,33.86
ORD-2024-10141,2025-02-03,CUST-1012,Sophia Wilson 35,Consumer,Asia Pacific,India,Furniture,Tables,4542.17,7,0.1,1111.67
ORD-2024-10142,2024-09-11,CUST-1127,Sophia Wilson 67,Corporate,North America,Canada,Technology,Printers,2245.15,3,0.2,501.66
ORD-2024-10143,2024-02-22,CUST-1020,Sophia Wilson 85,Corporate,Asia Pacific,India,Office Supplies,Art,359.93,8,0.1,120.27
ORD-2024-10144,2025-01-07,CUST-1090,Charlotte Thomas 56,Corporate,North America,United States,Office Supplies,Art,291.57,3,0.0,70.8
ORD-2024-10145,2024-11-07,CUST-1112,Alex Rivera 17,Consumer,Europe,France,Furniture,Tables,609.68,1,0.2,49.19
ORD-2024-10146,2024-08-18,CUST-1094,Sophia Wilson 57,Consumer,Europe,Italy,Furniture,Tables,1357.5,5,0.05,328.66
ORD-2024-10147,2024-01-14,CUST-1047,Mia Martinez 67,Corporate,North America,Canada,Furniture,Tables,738.25,5,0.3,172.23
ORD-2024-10148,2024-09-08,CUST-1051,Emma Watson 18,Consumer,Latin America,Brazil,Office Supplies,Art,1047.23,6,0.3,318.6
ORD-2024-10149,2024-02-03,CUST-1140,Benjamin Anderson 38,Corporate,Europe,United Kingdom,Furniture,Furnishings,829.08,4,0.05,80.71
ORD-2024-10150,2024-09-09,CUST-1006,Sophia Wilson 71,Home Office,Asia Pacific,India,Office Supplies,Binders,313.74,2,0.0,91.86
ORD-2024-10151,2025-01-02,CUST-1122,Benjamin Anderson 53,Corporate,North America,United States,Furniture,Chairs,2208.64,6,0.05,498.25
ORD-2024-10152,2025-02-03,CUST-1141,Charlotte Thomas 24,Consumer,Latin America,Chile,Technology,Smartphones,3874.62,5,0.05,738.08
ORD-2024-10153,2025-04-23,CUST-1057,Sophia Wilson 67,Corporate,North America,Canada,Technology,Monitors,1878.88,5,0.2,532.42
ORD-2024-10154,2024-09-14,CUST-1043,Charlotte Thomas 75,Consumer,Europe,Italy,Office Supplies,Appliances,91.03,1,0.0,20.42
ORD-2024-10155,2025-04-30,CUST-1147,Noah Davis 84,Consumer,Latin America,Chile,Office Supplies,Paper,453.35,5,0.3,220.78
ORD-2024-10156,2024-09-04,CUST-1062,James Taylor 39,Corporate,North America,United States,Technology,Printers,5093.37,8,0.05,1197.19
ORD-2024-10157,2024-03-14,CUST-1080,Sophia Wilson 94,Corporate,Latin America,Brazil,Furniture,Furnishings,2686.07,6,0.05,384.9
ORD-2024-10158,2024-05-16,CUST-1115,Olivia Brown 19,Consumer,North America,Canada,Furniture,Furnishings,981.72,3,0.1,232.42
ORD-2024-10159,2025-01-04,CUST-1080,Olivia Brown 98,Consumer,Latin America,Chile,Furniture,Tables,5674.48,8,0.0,385.92
ORD-2024-10160,2024-07-20,CUST-1129,Mia Martinez 31,Consumer,Asia Pacific,Japan,Technology,Accessories,5635.8,8,0.1,1601.54
ORD-2024-10161,2025-03-09,CUST-1027,James Taylor 18,Corporate,Asia Pacific,India,Furniture,Chairs,1261.58,4,0.1,202.67
ORD-2024-10162,2024-02-07,CUST-1098,Benjamin Anderson 58,Home Office,Asia Pacific,Japan,Technology,Smartphones,3068.83,6,0.2,1180.69
ORD-2024-10163,2025-01-21,CUST-1036,Olivia Brown 78,Home Office,Latin America,Chile,Technology,Smartphones,689.83,6,0.15,193.04
ORD-2024-10164,2024-03-17,CUST-1131,Liam Smith 42,Home Office,Asia Pacific,Australia,Furniture,Furnishings,2417.96,5,0.2,283.57
ORD-2024-10165,2025-02-28,CUST-1130,Benjamin Anderson 63,Home Office,Asia Pacific,India,Technology,Accessories,935.61,2,0.15,276.87
ORD-2024-10166,2025-02-11,CUST-1006,Charlotte Thomas 61,Corporate,Europe,Germany,Office Supplies,Art,338.62,7,0.05,151.19
ORD-2024-10167,2024-05-04,CUST-1008,Charlotte Thomas 90,Consumer,Europe,Germany,Furniture,Bookcases,1784.04,7,0.3,161.95
ORD-2024-10168,2024-09-13,CUST-1120,Alex Rivera 91,Consumer,Europe,Italy,Furniture,Tables,2531.43,6,0.05,359.29
ORD-2024-10169,2024-09-29,CUST-1087,Benjamin Anderson 46,Home Office,Asia Pacific,India,Technology,Laptops,2261.9,5,0.05,871.67
ORD-2024-10170,2024-06-01,CUST-1073,Olivia Brown 89,Home Office,Latin America,Mexico,Furniture,Bookcases,2116.66,5,0.1,157.43
ORD-2024-10171,2024-12-12,CUST-1139,James Taylor 51,Corporate,Europe,France,Technology,Accessories,2585.79,2,0.1,985.19
ORD-2024-10172,2024-12-01,CUST-1065,Mia Martinez 28,Consumer,Asia Pacific,Singapore,Technology,Smartphones,3626.19,4,0.05,589.95
ORD-2024-10173,2025-04-08,CUST-1135,Olivia Brown 82,Consumer,North America,United States,Furniture,Bookcases,823.23,2,0.3,168.07
ORD-2024-10174,2024-01-03,CUST-1140,Liam Smith 53,Home Office,Latin America,Mexico,Office Supplies,Binders,861.39,5,0.1,246.03
ORD-2024-10175,2024-01-31,CUST-1022,Charlotte Thomas 30,Home Office,North America,United States,Furniture,Desks,637.87,1,0.15,132.42
ORD-2024-10176,2024-04-05,CUST-1074,Alex Rivera 2,Corporate,North America,Canada,Furniture,Tables,6017.83,8,0.05,1325.2
ORD-2024-10177,2024-08-27,CUST-1069,Olivia Brown 15,Corporate,Europe,Spain,Office Supplies,Storage,127.72,1,0.3,38.46
ORD-2024-10178,2024-05-31,CUST-1145,Olivia Brown 23,Home Office,Latin America,Mexico,Office Supplies,Storage,58.56,2,0.05,28.96
ORD-2024-10179,2024-09-01,CUST-1082,Olivia Brown 1,Corporate,Latin America,Brazil,Furniture,Bookcases,3062.12,5,0.2,595.82
ORD-2024-10180,2024-01-06,CUST-1066,Sophia Wilson 89,Consumer,North America,United States,Furniture,Bookcases,594.26,5,0.3,43.67
ORD-2024-10181,2025-04-14,CUST-1075,Sophia Wilson 79,Consumer,Europe,United Kingdom,Furniture,Desks,1995.27,6,0.15,379.88
ORD-2024-10182,2025-04-12,CUST-1120,Benjamin Anderson 86,Consumer,Europe,Italy,Technology,Monitors,4286.28,6,0.0,1625.83
ORD-2024-10183,2024-02-27,CUST-1015,Benjamin Anderson 65,Consumer,Europe,United Kingdom,Furniture,Furnishings,1067.86,4,0.3,177.94
ORD-2024-10184,2024-02-16,CUST-1130,Mia Martinez 8,Corporate,Europe,Italy,Furniture,Tables,2648.41,8,0.3,559.83
ORD-2024-10185,2025-01-05,CUST-1005,James Taylor 33,Consumer,Europe,Italy,Technology,Smartphones,1090.64,2,0.2,434.65
ORD-2024-10186,2025-04-23,CUST-1017,Mia Martinez 5,Corporate,Latin America,Brazil,Technology,Printers,3639.79,7,0.15,1337.28
ORD-2024-10187,2025-04-09,CUST-1096,James Taylor 11,Home Office,Europe,France,Technology,Laptops,8343.1,7,0.2,1517.08
ORD-2024-10188,2024-04-24,CUST-1000,Alex Rivera 39,Corporate,Latin America,Chile,Furniture,Desks,1343.09,6,0.05,141.2
ORD-2024-10189,2025-04-24,CUST-1028,Alex Rivera 85,Corporate,North America,United States,Technology,Smartphones,189.78,1,0.15,56.83
ORD-2024-10190,2024-12-26,CUST-1012,Olivia Brown 95,Consumer,Latin America,Mexico,Technology,Monitors,369.09,1,0.05,101.86
ORD-2024-10191,2024-05-28,CUST-1059,Charlotte Thomas 41,Home Office,Asia Pacific,Australia,Furniture,Desks,2683.52,4,0.15,295.46
